@relation main_cgpa_1102_with_id

@attribute row_id numeric
@attribute desired_department_match numeric
@attribute attendance numeric
@attribute weekly_study_time numeric
@attribute study_style numeric
@attribute topic_clarity numeric
@attribute sleep_duration numeric
@attribute stress_frequency numeric
@attribute weekly_responsibilities numeric
@attribute distraction_frequency numeric
@attribute study_environment numeric
@attribute support_level numeric
@attribute routine_manageability numeric
@attribute recent_sgpa_band {C0,C1,C2,C3}
@attribute cgpa_band {C0,C1,C2,C3}

@data
340,4,2,1,3,0,2,3,0,3,4,2,1,C1,C1
341,4,3,1,1,1,0,2,4,3,3,3,1,C1,C1
342,4,4,4,1,2,2,1,2,2,3,0,0,C1,C1
343,4,2,4,1,2,1,3,3,1,3,2,3,C3,C2
344,4,2,0,0,2,0,2,3,0,2,3,1,C2,C2
345,4,2,0,0,2,2,1,3,1,2,3,1,C1,C3
346,3,3,1,1,2,1,2,1,4,2,3,2,C1,C0
347,1,4,2,0,3,1,1,4,2,2,4,1,C1,C0
348,1,1,2,0,2,1,3,3,2,3,4,2,C3,C2
349,4,2,0,1,3,2,2,3,3,3,2,0,C1,C1
350,4,3,1,3,1,1,1,0,3,2,2,2,C2,C1
351,3,1,3,0,3,1,1,2,4,2,3,3,C2,C1
352,4,3,1,2,1,2,2,0,2,2,3,1,C0,C0
353,4,2,2,1,3,0,4,3,2,4,4,1,C1,C0
354,4,4,0,0,2,3,3,1,4,3,3,4,C1,C1
355,0,2,2,1,3,1,2,2,3,2,3,2,C1,C1
356,4,2,1,2,2,3,3,1,4,1,3,4,C3,C3
357,4,2,0,2,1,0,1,3,2,2,2,1,C3,C2
358,4,2,1,0,1,0,4,3,3,3,2,3,C1,C0
359,4,1,4,0,2,1,1,3,2,2,3,1,C1,C1
360,4,4,2,3,3,2,2,0,1,1,2,2,C3,C3
361,3,4,0,1,4,2,3,2,2,3,2,1,C1,C1
362,0,3,2,1,3,2,1,0,3,1,3,1,C2,C2
363,4,2,2,3,2,1,3,0,3,2,3,2,C3,C2
364,3,3,4,1,3,2,2,1,2,1,3,2,C1,C1
365,4,4,1,0,2,2,3,0,2,3,2,1,C1,C1
366,4,2,0,1,3,3,2,4,0,1,2,1,C0,C0
367,4,3,1,0,2,1,2,2,2,3,4,1,C1,C0
368,4,3,3,0,3,0,2,4,2,3,3,1,C2,C2
369,4,2,3,3,2,0,3,4,3,3,0,1,C2,C2
370,2,2,2,3,1,4,2,0,1,1,4,2,C1,C1
371,2,3,3,0,4,2,0,4,1,4,3,2,C1,C1
372,1,2,4,4,1,0,1,1,4,3,3,2,C2,C3
373,2,4,0,0,1,4,3,4,4,4,1,2,C0,C0
374,4,4,1,0,3,1,4,3,3,1,4,3,C1,C2
375,2,1,4,4,4,0,2,3,3,3,4,3,C2,C1
376,3,4,3,0,1,3,3,2,2,3,3,0,C1,C2
377,2,3,2,1,4,4,0,3,3,3,4,2,C1,C1
378,4,1,4,1,0,2,0,2,2,3,1,4,C2,C0
379,3,4,1,0,1,3,1,3,2,1,1,0,C0,C2
380,4,2,3,3,4,4,1,1,1,2,1,1,C3,C1
381,0,3,3,4,2,1,3,1,2,1,2,1,C0,C3
382,2,2,2,3,2,2,4,0,3,0,4,3,C2,C2
383,4,4,1,0,2,3,1,0,0,2,2,4,C3,C0
384,0,0,0,1,1,3,0,1,3,0,3,1,C3,C1
385,4,2,1,2,1,0,1,1,0,4,2,0,C0,C2
386,0,3,3,0,0,4,3,3,2,2,1,2,C2,C1
387,1,1,1,2,0,2,4,2,2,3,1,1,C0,C3
388,0,1,3,4,3,2,1,1,1,4,3,3,C2,C1
389,1,1,2,2,0,3,3,2,1,4,0,1,C0,C1
390,0,4,4,2,4,1,1,0,3,1,1,3,C1,C0
391,2,1,2,0,0,3,1,0,4,1,0,2,C2,C2
392,1,3,3,1,0,1,1,0,0,2,0,0,C0,C3
393,0,4,2,1,3,4,1,3,4,1,0,4,C1,C3
394,1,1,0,2,2,1,1,0,3,3,4,4,C3,C3
395,1,3,4,2,1,3,1,3,2,2,1,1,C3,C2
396,4,0,2,1,4,4,2,4,3,0,4,0,C0,C3
397,2,3,0,0,3,1,4,1,3,1,1,3,C1,C2
398,4,4,2,0,1,2,2,4,2,3,1,2,C3,C2
