run,n,accuracy,kappa,qwk,far_rate,within_1,mae_bands,macro_f1,subset,data,model,acc_std,repeats
KUET sem 7 before 6 Aug|main|Logistic,600,0.5116666666666667,0.30757414628382374,0.6294409779702024,0.05,0.95,0.54,0.48850233969424994,KUET sem 7 before 6 Aug,main,Logistic,0.010000000000000016,5
KUET sem 7 before 6 Aug|quest|ZeroR,600,0.4,0.0,0.0,0.18333333333333332,0.8166666666666667,0.7833333333333333,0.14285714285714288,KUET sem 7 before 6 Aug,quest,ZeroR,0.0,5
KUET sem 7 before 6 Aug|quest|J48,600,0.36666666666666664,-0.023523074160531454,0.004489556900253766,0.16666666666666666,0.8333333333333334,0.8,0.1761629266012155,KUET sem 7 before 6 Aug,quest,J48,0.019002923751652315,5
KUET sem 7 before 6 Aug|quest|RandomForest,600,0.39,0.07882042031964409,0.2467248908296944,0.15166666666666667,0.8483333333333334,0.7633333333333333,0.32016133557800225,KUET sem 7 before 6 Aug,quest,RandomForest,0.0177951304200522,5
KUET sem 7 before 6 Aug|quest|SMO,600,0.3933333333333333,0.03588928618725995,0.15254237288135608,0.15333333333333332,0.8466666666666667,0.76,0.2232570173718315,KUET sem 7 before 6 Aug,quest,SMO,0.030459444804161774,5
KUET sem 7 before 6 Aug|quest|Logistic,600,0.3233333333333333,0.011122838353495257,0.1864831038798499,0.19666666666666666,0.8033333333333333,0.88,0.25421132160508875,KUET sem 7 before 6 Aug,quest,Logistic,0.034318767136623324,5
"KUET sem 7, 6-7 Aug|main|ZeroR",2275,0.26593406593406593,0.0,0.0,0.24395604395604395,0.756043956043956,0.978021978021978,0.10503472222222222,"KUET sem 7, 6-7 Aug",main,ZeroR,0.0,5
"KUET sem 7, 6-7 Aug|main|J48",2275,0.2571428571428571,0.0051582470498888755,-0.015258675250610976,0.3569230769230769,0.6430769230769231,1.1982417582417582,0.24642195852160675,"KUET sem 7, 6-7 Aug",main,J48,0.008223422828074587,5
"KUET sem 7, 6-7 Aug|main|RandomForest",2275,0.25362637362637364,0.0016075799202411867,-0.029291872219563198,0.36615384615384616,0.6338461538461538,1.2114285714285715,0.24708921986838217,"KUET sem 7, 6-7 Aug",main,RandomForest,0.013941759584310941,5
"KUET sem 7, 6-7 Aug|main|SMO",2275,0.25758241758241757,0.004649747113335989,0.007527788851085182,0.33362637362637365,0.6663736263736264,1.1617582417582417,0.24432763062364093,"KUET sem 7, 6-7 Aug",main,SMO,0.009365835495675831,5
"KUET sem 7, 6-7 Aug|main|Logistic",2275,0.24351648351648353,-0.013265994050230212,-0.011700212908354324,0.33802197802197803,0.661978021978022,1.1916483516483516,0.23377840597462263,"KUET sem 7, 6-7 Aug",main,Logistic,0.014736751309222156,5
"KUET sem 7, 6-7 Aug|quest|ZeroR",2275,0.26593406593406593,0.0,0.0,0.24395604395604395,0.756043956043956,0.978021978021978,0.10503472222222222,"KUET sem 7, 6-7 Aug",quest,ZeroR,0.0,5
"KUET sem 7, 6-7 Aug|quest|J48",2275,0.25846153846153846,0.008035636977370086,-0.0263406002059674,0.3701098901098901,0.6298901098901099,1.2197802197802199,0.2496512285422726,"KUET sem 7, 6-7 Aug",quest,J48,0.004934053696844762,5
"KUET sem 7, 6-7 Aug|quest|RandomForest",2275,0.24615384615384617,-0.007828079311449354,-0.06609623401755527,0.38857142857142857,0.6114285714285714,1.2483516483516484,0.24261673846273835,"KUET sem 7, 6-7 Aug",quest,RandomForest,0.022283590075844534,5
"KUET sem 7, 6-7 Aug|quest|SMO",2275,0.26461538461538464,0.01335419264359361,0.0007176094835403823,0.33494505494505494,0.665054945054945,1.1538461538461537,0.24798833290052047,"KUET sem 7, 6-7 Aug",quest,SMO,0.009282950365689182,5
"KUET sem 7, 6-7 Aug|quest|Logistic",2275,0.26945054945054947,0.021220416642398154,0.00046467031814323434,0.3393406593406593,0.6606593406593406,1.1657142857142857,0.25704330031332323,"KUET sem 7, 6-7 Aug",quest,Logistic,0.007689167333861928,5
KUET sem 7 after 7 Aug|main|ZeroR,500,0.4,0.0,0.0,0.08,0.92,0.68,0.14285714285714288,KUET sem 7 after 7 Aug,main,ZeroR,0.0,5
KUET sem 7 after 7 Aug|main|J48,500,0.39,-0.01060304837640813,0.017690875232774794,0.078,0.922,0.688,0.15611344537815125,KUET sem 7 after 7 Aug,main,J48,0.01264911064067353,5
KUET sem 7 after 7 Aug|main|RandomForest,500,0.366,0.034831323833881545,0.14475363798825625,0.126,0.874,0.772,0.2934294250020908,KUET sem 7 after 7 Aug,main,RandomForest,0.04223742416388575,5
KUET sem 7 after 7 Aug|main|SMO,500,0.39,0.0605845935873347,0.15810882902107204,0.11,0.89,0.734,0.25470062317281594,KUET sem 7 after 7 Aug,main,SMO,0.03521363372331802,5
KUET sem 7 after 7 Aug|main|Logistic,500,0.302,-0.00385434044756372,0.05726961080863069,0.196,0.804,0.936,0.25557992644105443,KUET sem 7 after 7 Aug,main,Logistic,0.017204650534085247,5
