university,department_grouped,academic_progress,academic_year,attendance,weekly_study_time,study_style,topic_clarity,sleep_duration,stress_frequency,weekly_responsibilities,distraction_frequency,study_environment,support_level,routine_manageability,admission_satisfaction,desired_department_match,career_expectation,discipline_index,wellbeing_index,environment_index,motivation_index,current_cgpa_band
BRAC,CSE,0.833,4,75-89%,3-6 hrs,Mostly just before exams,Most of it,7-8 hrs,Often,1-5 hrs,Often,Neither good nor bad,Some support,Difficult to manage,Very dissatisfied,Close to what I wanted,Slightly,0.312,0.417,0.5,0.333,C3_3_75_plus
BRAC,CSE,0.917,4,75-89%,7-10 hrs,Regularly but not every day,About half,7-8 hrs,Often,1-5 hrs,Rarely,Excellent for focused study,Some support,Mostly manageable,Satisfied,Mostly different,Slightly,0.562,0.583,0.75,0.417,C3_3_75_plus
BRAC,CSE,0.833,4,90% or more,3-6 hrs,Mostly just before exams,A little,5-6 hrs,Almost always,none,Often,Very distracting,Good support,Average,Satisfied,Close to what I wanted,Completely,0.438,0.25,0.375,0.833,C3_3_75_plus
BRAC,CSE,0.917,4,75-89%,3-6 hrs,Mostly just before exams,A little,6-7 hrs,Often,1-5 hrs,Often,Somewhat distracting,Good support,Mostly manageable,Satisfied,Somewhat different,Mostly,0.312,0.5,0.5,0.667,C2_3_50_to_3_74
BRAC,CSE,0.833,4,75-89%,7-10 hrs,Consistent throughout the semester,About half,5-6 hrs,Often,1-5 hrs,Sometimes,Somewhat distracting,Some support,Completely unmanageable,Neutral,"Yes, exactly what I wanted",Slightly,0.625,0.167,0.375,0.583,C2_3_50_to_3_74
BRAC,CSE,0.917,4,60-74%,Less than 3 hrs,Occasionally when necessary,A little,Less than 5 hrs,Sometimes,1-5 hrs,Often,Mostly suitable,Strong support,Average,Satisfied,Close to what I wanted,Somewhat,0.062,0.333,0.875,0.667,C2_3_50_to_3_74
BRAC,CSE,0.833,4,75-89%,3-6 hrs,Regularly but not every day,About half,More than 8 hrs,Often,6-10 hrs,Never,Excellent for focused study,Good support,Average,Satisfied,Not at all what I wanted,Mostly,0.562,0.583,0.875,0.5,C2_3_50_to_3_74
BRAC,CSE,0.917,4,75-89%,11-15 hrs,Regularly but not every day,About half,6-7 hrs,Often,11-15 hrs,Almost every day,Somewhat distracting,Good support,Difficult to manage,Satisfied,"Yes, exactly what I wanted",Completely,0.438,0.333,0.5,0.917,C2_3_50_to_3_74
BRAC,CSE,0.833,4,90% or more,7-10 hrs,Occasionally when necessary,Most of it,7-8 hrs,Often,none,Sometimes,Excellent for focused study,Strong support,Completely unmanageable,Neutral,Mostly different,Mostly,0.5,0.333,1.0,0.5,C0_below_3_20
BRAC,CSE,0.917,4,75-89%,7-10 hrs,Mostly consistent routine,Most of it,6-7 hrs,Sometimes,More than 15 hrs,Almost every day,Somewhat distracting,Good support,Difficult to manage,Very satisfied,"Yes, exactly what I wanted",Slightly,0.438,0.417,0.5,0.75,C0_below_3_20
BRAC,EEE,0.917,4,75-89%,3-6 hrs,Mostly just before exams,About half,7-8 hrs,Often,1-5 hrs,Often,Very distracting,Good support,Difficult to manage,Satisfied,"Yes, exactly what I wanted",Mostly,0.312,0.417,0.375,0.833,C3_3_75_plus
